,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,470.0,2412,中華電,1480,1417,86,95,,,,,,,,,,,False
2022-12-12,,2412,中華電,1955,1430,82,126,27.0,552.0,,1939361.0,,44.0,,1939361.0,, ,False
2022-12-13,,2412,中華電,1425,1705,126,117,285.0,5.0,,1939361.0,9.0,,,1939361.0,, ,False
2022-12-14,,2412,中華電,1705,1451,117,117,14.0,268.0,,1939361.0,,,,1939361.0,, ,False
2022-12-15,,2412,中華電,1451,1429,117,74,2.0,24.0,,1939361.0,,,43.0,1939361.0,, ,False
2022-12-18,,2412,中華電,1429,1535,74,73,109.0,2.0,1.0,1939361.0,,,1.0,1939361.0,, ,False
2022-12-19,,2412,中華電,1535,1487,73,80,3.0,50.0,1.0,1939361.0,,7.0,,1939361.0,, ,False
2022-12-20,,2412,中華電,1487,1472,80,80,26.0,41.0,,1939361.0,,,,1939361.0,, ,False
2022-12-21,,2412,中華電,1472,1459,80,83,5.0,18.0,,1939361.0,,8.0,5.0,1939361.0,, ,False
2022-12-23,,2412,中華電,1401,1372,94,93,,29.0,,1939361.0,1.0,,,1939361.0,, ,False
2022-12-26,,2412,中華電,1372,1337,93,93,4.0,39.0,,1939361.0,,,,1939361.0,, ,False
2022-12-27,,2412,中華電,1337,1339,93,94,27.0,25.0,,1939361.0,,1.0,,1939361.0,, ,False
2022-12-28,,2412,中華電,1339,1292,94,328,17.0,59.0,5.0,1939361.0,,234.0,,1939361.0,1.0, ,False
2022-12-29,,2412,中華電,1292,1308,328,127,24.0,7.0,1.0,1939361.0,200.0,,1.0,1939361.0,, ,False
2022-12-30,,2412,中華電,1308,1279,127,123,2.0,28.0,3.0,1939361.0,3.0,,1.0,1939361.0,, ,False
2023-01-03,,2412,中華電,1279,1278,123,90,20.0,21.0,,1939361.0,30.0,2.0,5.0,1939361.0,, ,
2023-01-04,,2412,中華電,1278,1241,90,91,8.0,41.0,4.0,1939361.0,7.0,8.0,,1939361.0,, ,
2023-01-05,,2412,中華電,1241,1224,91,92,12.0,29.0,,1939361.0,,1.0,,1939361.0,, ,
2023-01-06,,2412,中華電,1224,1209,92,96,1.0,15.0,1.0,1939361.0,,5.0,1.0,1939361.0,, ,
2023-01-10,,2412,中華電,1184,1183,96,95,15.0,16.0,,1939361.0,,1.0,2.0,1939361.0,, ,
2023-01-11,,2412,中華電,1183,1248,95,86,76.0,11.0,,1939361.0,10.0,1.0,,1939361.0,, ,
2023-01-12,,2412,中華電,1248,1222,86,87,10.0,34.0,2.0,1939361.0,2.0,3.0,,1939361.0,, ,
2023-01-14,,2412,中華電,1222,1272,87,87,55.0,5.0,,1939361.0,,,,1939361.0,, ,
2023-01-16,,2412,中華電,1272,1159,87,94,,112.0,1.0,1939361.0,,8.0,1.0,1939361.0,, ,
2023-01-18,,2412,中華電,1159,1164,94,93,12.0,6.0,1.0,1939361.0,1.0,,,1939361.0,, ,
2023-02-01,,2412,中華電,1223,1269,68,62,64.0,18.0,,1939361.0,8.0,2.0,,1939361.0,, ,
2023-02-02,,2412,中華電,1223,1269,68,62,64.0,18.0,,1939361.0,8.0,2.0,,1939361.0,, ,
2023-02-03,,2412,中華電,1324,1259,62,64,27.0,92.0,,1939361.0,,2.0,,1939361.0,, ,
2023-02-04,,2412,中華電,1324,1259,62,64,27.0,92.0,,1939361.0,,2.0,,1939361.0,, ,
2023-02-06,,2412,中華電,1259,1258,64,66,16.0,17.0,,1939361.0,,2.0,,1939361.0,, ,
2023-02-07,,2412,中華電,1258,1265,66,66,28.0,21.0,,1939361.0,,,,1939361.0,, ,
2023-02-08,,2412,中華電,1265,1266,66,65,24.0,23.0,,1939361.0,,,1.0,1939361.0,, ,
2023-02-09,,2412,中華電,1266,1260,65,65,4.0,10.0,,1939361.0,1.0,1.0,,1939361.0,3.0, ,
2023-02-10,,2412,中華電,1260,1238,65,66,2.0,24.0,,1939361.0,1.0,2.0,,1939361.0,, ,
2023-02-11,,2412,中華電,1260,1238,65,66,2.0,24.0,,1939361.0,1.0,2.0,,1939361.0,, ,
2023-02-13,,2412,中華電,1238,1212,66,70,6.0,32.0,,1939361.0,,4.0,,1939361.0,, ,
2023-02-14,,2412,中華電,1212,1768,70,60,581.0,25.0,,1939361.0,10.0,,,1939361.0,, ,
2023-02-15,,2412,中華電,1768,1780,60,59,14.0,2.0,,1939361.0,1.0,,,1939361.0,, ,
2023-02-16,,2412,中華電,1780,1635,59,62,7.0,152.0,,1939361.0,,3.0,,1939361.0,, ,
2023-02-17,,2412,中華電,1635,1202,62,58,13.0,446.0,,1939361.0,2.0,,2.0,1939361.0,, ,
2023-02-18,,2412,中華電,1635,1202,62,58,13.0,446.0,,1939361.0,2.0,,2.0,1939361.0,, ,
2023-02-20,,2412,中華電,1202,1116,58,61,10.0,96.0,,1939361.0,,3.0,,1939361.0,, ,
2023-02-21,,2412,中華電,1116,1124,61,61,23.0,15.0,,1939361.0,,,,1939361.0,, ,
2023-02-22,,2412,中華電,1124,1133,61,63,45,36,,1939361,,2,,1939361,, ,
