,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,429.0,2353,宏碁,11251,11045,1483,1504,,,,,,,,,,,False
2022-12-12,,2353,宏碁,11040,11148,1520,1526,173.0,61.0,4.0,761963.0,5.0,11.0,,761963.0,1.0, ,False
2022-12-13,,2353,宏碁,11229,11309,1508,1501,265.0,182.0,3.0,761963.0,15.0,8.0,,761963.0,, ,False
2022-12-14,,2353,宏碁,11309,11100,1501,1502,22.0,202.0,29.0,761963.0,8.0,9.0,,761963.0,1.0, ,False
2022-12-15,,2353,宏碁,11100,11157,1502,1486,94.0,21.0,16.0,761963.0,16.0,,,761963.0,6.0, ,False
2022-12-18,,2353,宏碁,11157,11248,1486,1477,184.0,79.0,14.0,761963.0,27.0,18.0,,761963.0,, ,False
2022-12-19,,2353,宏碁,11248,11160,1477,1477,78.0,143.0,23.0,761963.0,7.0,7.0,,761963.0,4.0, ,False
2022-12-20,,2353,宏碁,11160,11174,1477,1468,108.0,88.0,6.0,761963.0,10.0,1.0,,761963.0,3.0, ,False
2022-12-21,,2353,宏碁,11174,10987,1468,1475,48.0,219.0,16.0,761963.0,,7.0,,761963.0,, ,False
2022-12-23,,2353,宏碁,10941,10978,1478,1495,165.0,97.0,31.0,761963.0,1.0,18.0,,761963.0,, ,False
2022-12-26,,2353,宏碁,10978,10999,1495,1513,66.0,43.0,2.0,761963.0,13.0,31.0,,761963.0,1.0, ,False
2022-12-27,,2353,宏碁,10999,10922,1513,1348,28.0,102.0,3.0,761963.0,175.0,10.0,,761963.0,1.0, ,False
2022-12-28,,2353,宏碁,10922,10852,1348,1343,27.0,89.0,8.0,761963.0,9.0,4.0,,761963.0,, ,False
2022-12-29,,2353,宏碁,10852,10782,1343,1318,94.0,164.0,,761963.0,29.0,4.0,,761963.0,, ,False
2022-12-30,,2353,宏碁,10782,10695,1318,1323,202.0,276.0,13.0,761963.0,1.0,6.0,,761963.0,, ,False
2023-01-03,,2353,宏碁,10695,10681,1323,1325,87.0,99.0,2.0,761963.0,9.0,11.0,,761963.0,, ,
2023-01-04,,2353,宏碁,10681,10969,1325,1324,362.0,70.0,4.0,761963.0,1.0,,,761963.0,, ,
2023-01-05,,2353,宏碁,10969,10322,1324,1323,60.0,702.0,5.0,761963.0,7.0,6.0,,761963.0,1.0, ,
2023-01-06,,2353,宏碁,10322,10194,1323,1321,31.0,159.0,,761963.0,3.0,1.0,,761963.0,, ,
2023-01-10,,2353,宏碁,9785,9919,1326,1329,209.0,75.0,,761963.0,1.0,4.0,,761963.0,, ,
2023-01-11,,2353,宏碁,9919,9751,1329,1327,24.0,185.0,7.0,761963.0,3.0,1.0,,761963.0,, ,
2023-01-12,,2353,宏碁,9751,9710,1327,1331,33.0,68.0,6.0,761963.0,6.0,10.0,,761963.0,, ,
2023-01-14,,2353,宏碁,9710,9631,1331,1319,14.0,84.0,9.0,761963.0,20.0,8.0,,761963.0,, ,
2023-01-16,,2353,宏碁,9631,9502,1319,1320,23.0,138.0,14.0,761963.0,7.0,8.0,,761963.0,, ,
2023-01-18,,2353,宏碁,9502,9058,1320,1298,65.0,500.0,9.0,761963.0,24.0,2.0,,761963.0,, ,
2023-02-01,,2353,宏碁,9041,9130,1530,1335,285.0,171.0,25.0,761963.0,211.0,16.0,,761963.0,2.0, ,
2023-02-02,,2353,宏碁,9041,9130,1530,1335,285.0,171.0,25.0,761963.0,211.0,16.0,,761963.0,2.0, ,
2023-02-03,,2353,宏碁,8753,8828,1331,1247,194.0,119.0,,761963.0,30.0,6.0,60.0,761963.0,, ,
2023-02-04,,2353,宏碁,8753,8828,1331,1247,194.0,119.0,,761963.0,30.0,6.0,60.0,761963.0,, ,
2023-02-06,,2353,宏碁,8828,8637,1247,1285,296.0,479.0,8.0,761963.0,13.0,51.0,,761963.0,1.0, ,
2023-02-07,,2353,宏碁,8637,8647,1285,967,80.0,70.0,,761963.0,322.0,4.0,,761963.0,, ,
2023-02-08,,2353,宏碁,8647,8520,967,942,226.0,347.0,6.0,761963.0,26.0,1.0,,761963.0,1.0, ,
2023-02-09,,2353,宏碁,8520,8378,942,1044,27.0,125.0,44.0,761963.0,51.0,153.0,,761963.0,, ,
2023-02-10,,2353,宏碁,8378,8387,1044,896,96.0,81.0,6.0,761963.0,155.0,7.0,,761963.0,, ,
2023-02-11,,2353,宏碁,8378,8387,1044,896,96.0,81.0,6.0,761963.0,155.0,7.0,,761963.0,, ,
2023-02-13,,2353,宏碁,8387,8327,896,936,48.0,108.0,,761963.0,,40.0,,761963.0,, ,
2023-02-14,,2353,宏碁,8327,8232,936,936,77.0,171.0,1.0,761963.0,2.0,2.0,,761963.0,, ,
2023-02-15,,2353,宏碁,8232,8192,936,952,20.0,60.0,,761963.0,2.0,18.0,,761963.0,, ,
2023-02-16,,2353,宏碁,8192,7958,952,950,66.0,300.0,,761963.0,4.0,2.0,,761963.0,, ,
2023-02-17,,2353,宏碁,7958,7985,950,951,62.0,28.0,7.0,761963.0,,1.0,,761963.0,1.0, ,
2023-02-18,,2353,宏碁,7958,7985,950,951,62.0,28.0,7.0,761963.0,,1.0,,761963.0,1.0, ,
2023-02-20,,2353,宏碁,7985,7995,951,955,71.0,57.0,4.0,761963.0,,4.0,,761963.0,, ,
2023-02-21,,2353,宏碁,7995,7994,955,958,26,27,,761963,,3,,761963,, ,
