,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,998.0,6770,力積電,28867,28656,7361,7402,,,,,,,,,,,False
2022-12-12,,6770,力積電,29033,28603,7520,7488,427.0,857.0,,986810.0,217.0,185.0,,986810.0,3.0, ,False
2022-12-13,,6770,力積電,28136,28157,7639,7785,689.0,659.0,9.0,986810.0,51.0,197.0,,986810.0,13.0, ,False
2022-12-14,,6770,力積電,28157,27698,7785,8457,624.0,1083.0,,998645.0,172.0,844.0,,998645.0,1.0, ,False
2022-12-15,,6770,力積電,27698,28535,8457,8651,1168.0,331.0,,998645.0,550.0,744.0,,998645.0,2.0, ,False
2022-12-18,,6770,力積電,28535,28352,8651,9111,388.0,571.0,,998645.0,351.0,871.0,60.0,998645.0,9.0, ,False
2022-12-19,,6770,力積電,28352,28251,9111,8955,533.0,634.0,,998645.0,664.0,508.0,,998645.0,35.0, ,False
2022-12-20,,6770,力積電,28251,27322,8955,8755,626.0,1555.0,,998645.0,447.0,247.0,,998645.0,10.0, ,False
2022-12-21,,6770,力積電,27322,27337,8755,8235,465.0,450.0,,998645.0,656.0,136.0,,998645.0,10.0, ,False
2022-12-23,,6770,力積電,27954,29192,8364,8533,1496.0,255.0,3.0,998645.0,91.0,260.0,,998645.0,10.0, ,False
2022-12-26,,6770,力積電,29192,29181,8533,8432,1160.0,1166.0,5.0,998645.0,165.0,64.0,,998645.0,5.0, ,False
2022-12-27,,6770,力積電,29181,27993,8432,8232,668.0,1846.0,10.0,998645.0,357.0,652.0,495.0,998645.0,19.0, ,False
2022-12-28,,6770,力積電,27993,28145,8232,8991,1031.0,874.0,5.0,998645.0,438.0,1197.0,,998645.0,5.0, ,False
2022-12-29,,6770,力積電,28145,28135,8991,9350,584.0,594.0,,998645.0,278.0,637.0,,998645.0,10.0, ,False
2022-12-30,,6770,力積電,28135,28212,9350,9483,306.0,229.0,,998645.0,87.0,220.0,,998645.0,1.0, ,False
2023-01-03,,6770,力積電,28212,27903,9483,9714,177.0,486.0,,998645.0,294.0,624.0,99.0,998645.0,5.0, ,
2023-01-04,,6770,力積電,27903,27920,9714,9650,256.0,238.0,1.0,998645.0,225.0,161.0,,998645.0,4.0, ,
2023-01-05,,6770,力積電,27920,27638,9650,9962,516.0,796.0,2.0,998645.0,105.0,417.0,,998645.0,, ,
2023-01-06,,6770,力積電,27638,27682,9962,9042,1174.0,1115.0,15.0,998645.0,1255.0,335.0,,998645.0,10.0, ,
2023-01-10,,6770,力積電,28172,27579,9329,9182,887.0,1460.0,20.0,998645.0,467.0,320.0,,998645.0,31.0, ,
2023-01-11,,6770,力積電,27579,27615,9182,8876,1662.0,1625.0,1.0,998645.0,160.0,187.0,333.0,998645.0,26.0, ,
2023-01-12,,6770,力積電,27615,26669,8876,8760,863.0,1808.0,1.0,998645.0,45.0,21.0,92.0,998645.0,1.0, ,
2023-01-14,,6770,力積電,26669,26535,8760,8698,912.0,1016.0,30.0,1000968.0,241.0,180.0,1.0,1000968.0,20.0, ,
2023-01-16,,6770,力積電,26535,27023,8698,7777,1452.0,887.0,77.0,1000968.0,1077.0,203.0,47.0,1000968.0,50.0, ,
2023-01-18,,6770,力積電,27023,27208,7777,7636,982.0,679.0,118.0,1000968.0,244.0,123.0,20.0,1000968.0,5.0, ,
2023-02-01,,6770,力積電,25291,24914,8453,8676,1405.0,1782.0,,1000968.0,315.0,538.0,,1000968.0,11.0, ,
2023-02-02,,6770,力積電,25291,24914,8453,8676,1405.0,1782.0,,1000968.0,315.0,538.0,,1000968.0,11.0, ,
2023-02-03,,6770,力積電,26018,26240,8071,6732,1460.0,1129.0,109.0,1000968.0,1328.0,83.0,94.0,1000968.0,5.0, ,
2023-02-04,,6770,力積電,26018,26240,8071,6732,1460.0,1129.0,109.0,1000968.0,1328.0,83.0,94.0,1000968.0,5.0, ,
2023-02-06,,6770,力積電,26240,26574,6732,6783,1145.0,803.0,8.0,1000968.0,116.0,202.0,35.0,1000968.0,1.0, ,
2023-02-07,,6770,力積電,26574,27128,6783,6748,973.0,416.0,3.0,1000968.0,83.0,48.0,,1000968.0,4.0, ,
2023-02-08,,6770,力積電,27128,26928,6748,6653,1423.0,1619.0,4.0,1000968.0,100.0,131.0,126.0,1000968.0,1.0, ,
2023-02-09,,6770,力積電,26928,27044,6653,6595,774.0,654.0,4.0,1000968.0,71.0,13.0,,1000968.0,, ,
2023-02-10,,6770,力積電,27044,26573,6595,6485,818.0,1213.0,76.0,1000968.0,116.0,15.0,9.0,1000968.0,1.0, ,
2023-02-11,,6770,力積電,27044,26573,6595,6485,818.0,1213.0,76.0,1000968.0,116.0,15.0,9.0,1000968.0,1.0, ,
2023-02-13,,6770,力積電,26573,26647,6485,6114,883.0,740.0,69.0,1000968.0,333.0,41.0,79.0,1000968.0,, ,
2023-02-14,,6770,力積電,26647,26946,6114,6123,740.0,420.0,21.0,1009966.0,99.0,139.0,31.0,1009966.0,, ,
2023-02-15,,6770,力積電,26946,27110,6123,6081,508.0,341.0,3.0,1009966.0,73.0,31.0,,1009966.0,6.0, ,
2023-02-16,,6770,力積電,27054,27347,6081,5922,578.0,282.0,3.0,1009966.0,171.0,12.0,,1009966.0,3.0, ,
2023-02-17,,6770,力積電,27403,27384,5922,5562,494.0,407.0,106.0,1009966.0,365.0,5.0,,1009966.0,, ,
2023-02-18,,6770,力積電,27403,27384,5922,5562,494.0,407.0,106.0,1009966.0,365.0,5.0,,1009966.0,, ,
2023-02-20,,6770,力積電,27384,27120,5562,5601,597.0,860.0,1.0,1009966.0,23.0,62.0,,1009966.0,, ,
2023-02-21,,6770,力積電,27120,27687,5601,5590,1137.0,552.0,18.0,1009966.0,23.0,12.0,,1009966.0,, ,
2023-02-22,,6770,力積電,27687,27427,5590,5229,832.0,1027.0,65.0,1009966.0,355.0,118.0,124.0,1009966.0,1.0, ,
2023-02-23,,6770,力積電,27427,27180,5229,5131,387.0,631.0,3.0,1009966.0,89.0,21.0,30.0,1009966.0,, ,
2023-02-24,,6770,力積電,27180,27247,5131,4839,567.0,500.0,,1009966.0,179.0,27.0,140.0,1009966.0,2.0, ,
2023-02-25,,6770,力積電,27180,27247,5131,4839,567.0,500.0,,1009966.0,179.0,27.0,140.0,1009966.0,2.0, ,
2023-02-27,,6770,力積電,27180,27247,5131,4839,567.0,500.0,,1009966.0,179.0,27.0,140.0,1009966.0,2.0, ,
2023-02-28,,6770,力積電,27180,27247,5131,4839,567.0,500.0,,1009966.0,179.0,27.0,140.0,1009966.0,2.0, ,
2023-03-01,,6770,力積電,27247,27410,4839,3398,960.0,797.0,,1009966.0,1596.0,156.0,1.0,1009966.0,2.0, ,
2023-03-02,,6770,力積電,27410,27273,3398,3207,299,436,,1009966,190,7,8,1009966,, ,
