,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,783.0,4119,旭富,1292,1259,7,8,,,,,,,,,,,False
2022-12-12,,4119,旭富,1270,1267,26,2,44.0,34.0,13.0,23845.0,25.0,1.0,,23845.0,2.0, ,False
2022-12-13,,4119,旭富,1285,1513,4,9,329.0,101.0,,23845.0,1.0,6.0,,23845.0,3.0, ,False
2022-12-14,,4119,旭富,1513,1513,9,3,66.0,66.0,,23845.0,6.0,,,23845.0,, ,False
2022-12-15,,4119,旭富,1513,1423,3,1,17.0,77.0,30.0,23845.0,2.0,,,23845.0,, ,False
2022-12-18,,4119,旭富,1423,1369,1,1,13.0,67.0,,23845.0,,,,23845.0,, ,False
2022-12-19,,4119,旭富,1369,1256,1,1,18.0,83.0,48.0,23845.0,,,,23845.0,, ,False
2022-12-20,,4119,旭富,1256,1090,1,1,39.0,205.0,,23845.0,,,,23845.0,, ,False
2022-12-21,,4119,旭富,1090,1077,1,3,3.0,16.0,,23845.0,,2.0,,23845.0,, ,False
2022-12-23,,4119,旭富,1058,1056,2,3,10.0,12.0,,23845.0,,1.0,,23845.0,1.0, ,False
2022-12-26,,4119,旭富,1056,1131,3,10,92.0,17.0,,23845.0,,7.0,,23845.0,1.0, ,False
2022-12-27,,4119,旭富,1131,1117,10,10,27.0,41.0,,23845.0,,,,23845.0,1.0, ,False
2022-12-28,,4119,旭富,1117,1129,10,5,36.0,24.0,,23845.0,7.0,2.0,,23845.0,, ,False
2022-12-29,,4119,旭富,1129,1128,5,6,32.0,33.0,,23845.0,,1.0,,23845.0,, ,False
2022-12-30,,4119,旭富,1128,1125,6,6,17.0,20.0,,23845.0,,,,23845.0,, ,False
2023-01-03,,4119,旭富,1125,1112,6,6,8.0,21.0,,23845.0,,,,23845.0,, ,
2023-01-04,,4119,旭富,1112,1110,6,1,13.0,15.0,,23845.0,5.0,,,23845.0,, ,
2023-01-05,,4119,旭富,1110,1101,1,1,2.0,11.0,,23845.0,,,,23845.0,, ,
2023-01-06,,4119,旭富,1101,1108,1,1,12.0,5.0,,23845.0,,,,23845.0,, ,
2023-01-10,,4119,旭富,1102,1096,1,1,8.0,14.0,,23845.0,,,,23845.0,, ,
2023-01-11,,4119,旭富,1096,1099,1,1,10.0,7.0,,23845.0,,,,23845.0,, ,
2023-01-12,,4119,旭富,1099,1090,1,1,16.0,25.0,,23845.0,,,,23845.0,, ,
2023-01-14,,4119,旭富,1090,1065,1,1,4.0,21.0,8.0,23845.0,,,,23845.0,, ,
2023-01-16,,4119,旭富,1065,1082,1,2,47.0,30.0,,23845.0,,1.0,,23845.0,, ,
2023-01-18,,4119,旭富,1082,1035,2,2,23.0,69.0,1.0,23845.0,,,,23845.0,, ,
2023-02-01,,4119,旭富,1025,1023,2,2,10.0,12.0,,23845.0,,,,23845.0,, ,
2023-02-02,,4119,旭富,1025,1023,2,2,10.0,12.0,,23845.0,,,,23845.0,, ,
2023-02-03,,4119,旭富,1019,1004,2,2,6.0,21.0,,23845.0,,,,23845.0,, ,
2023-02-04,,4119,旭富,1019,1004,2,2,6.0,21.0,,23845.0,,,,23845.0,, ,
2023-02-06,,4119,旭富,1004,1039,2,2,50.0,15.0,,23845.0,,,,23845.0,, ,
2023-02-07,,4119,旭富,1039,1038,2,2,57.0,57.0,1.0,23845.0,,,,23845.0,, ,
2023-02-08,,4119,旭富,1038,1032,2,2,15.0,21.0,,23845.0,,,,23845.0,, ,
2023-02-09,,4119,旭富,1032,1057,2,4,102.0,77.0,,23845.0,,2.0,,23845.0,, ,
2023-02-10,,4119,旭富,1057,1062,4,3,55.0,50.0,,23845.0,2.0,1.0,,23845.0,, ,
2023-02-11,,4119,旭富,1057,1062,4,3,55.0,50.0,,23845.0,2.0,1.0,,23845.0,, ,
2023-02-13,,4119,旭富,1062,1034,3,2,17.0,45.0,,23845.0,1.0,,,23845.0,, ,
2023-02-14,,4119,旭富,1034,1040,2,2,26.0,20.0,,23845.0,,,,23845.0,, ,
2023-02-15,,4119,旭富,1040,1025,2,2,5.0,20.0,,23845.0,,,,23845.0,, ,
2023-02-16,,4119,旭富,1025,982,2,2,7.0,28.0,22.0,23845.0,,,,23845.0,, ,
2023-02-17,,4119,旭富,982,941,2,5,13.0,54.0,,23845.0,,3.0,,23845.0,, ,
2023-02-18,,4119,旭富,982,941,2,5,13.0,54.0,,23845.0,,3.0,,23845.0,, ,
2023-02-20,,4119,旭富,941,969,5,6,69.0,41.0,,23845.0,,1.0,,23845.0,, ,
2023-02-21,,4119,旭富,969,1294,6,6,435.0,110.0,,23845.0,,,,23845.0,4.0, ,
2023-02-22,,4119,旭富,1294,1107,6,7,125,306,6,23845,,1,,23845,2, ,
