,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,516.0,2474,可成,2752,2725,149,150,,,,,,,,,,,False
2022-12-12,,2474,可成,2748,2799,143,144,77.0,24.0,2.0,178616.0,,1.0,,178616.0,1.0, ,False
2022-12-13,,2474,可成,2773,2806,136,135,54.0,21.0,,178616.0,1.0,,,178616.0,, ,False
2022-12-14,,2474,可成,2806,2754,135,154,18.0,70.0,,178616.0,1.0,20.0,,178616.0,2.0, ,False
2022-12-15,,2474,可成,2754,2761,154,143,23.0,16.0,,178616.0,12.0,1.0,,178616.0,, ,False
2022-12-18,,2474,可成,2761,2769,143,122,32.0,24.0,,178616.0,21.0,,,178616.0,, ,False
2022-12-19,,2474,可成,2769,2766,122,119,71.0,73.0,1.0,178616.0,6.0,3.0,,178616.0,1.0, ,False
2022-12-20,,2474,可成,2766,2770,119,116,32.0,27.0,1.0,178616.0,25.0,22.0,,178616.0,, ,False
2022-12-21,,2474,可成,2770,2849,116,100,89.0,8.0,2.0,178616.0,20.0,4.0,,178616.0,1.0, ,False
2022-12-23,,2474,可成,2636,2649,179,98,48.0,20.0,15.0,178616.0,85.0,4.0,,178616.0,1.0, ,False
2022-12-26,,2474,可成,2649,2561,98,95,25.0,12.0,101.0,178616.0,3.0,,,178616.0,, ,False
2022-12-27,,2474,可成,2561,2540,95,96,4.0,25.0,,178616.0,2.0,3.0,,178616.0,, ,False
2022-12-28,,2474,可成,2540,2518,96,91,12.0,34.0,,178616.0,5.0,,,178616.0,, ,False
2022-12-29,,2474,可成,2518,2549,91,120,43.0,11.0,1.0,178616.0,,29.0,,178616.0,, ,False
2022-12-30,,2474,可成,2549,2523,120,117,10.0,36.0,,178616.0,3.0,,,178616.0,, ,False
2023-01-03,,2474,可成,2523,2454,117,115,8.0,70.0,7.0,178616.0,2.0,,,178616.0,, ,
2023-01-04,,2474,可成,2454,2385,115,116,28.0,97.0,,178616.0,2.0,3.0,,178616.0,, ,
2023-01-05,,2474,可成,2385,2341,116,115,9.0,52.0,1.0,178616.0,1.0,,,178616.0,, ,
2023-01-06,,2474,可成,2341,2309,115,115,15.0,47.0,,178616.0,,,,178616.0,, ,
2023-01-10,,2474,可成,2211,2122,118,122,6.0,94.0,1.0,178616.0,,4.0,,178616.0,, ,
2023-01-11,,2474,可成,2122,2142,122,124,38.0,15.0,3.0,178616.0,,2.0,,178616.0,4.0, ,
2023-01-12,,2474,可成,2142,2136,124,122,33.0,37.0,2.0,178616.0,2.0,,,178616.0,, ,
2023-01-14,,2474,可成,2136,2074,122,126,17.0,76.0,3.0,178616.0,1.0,5.0,,178616.0,, ,
2023-01-16,,2474,可成,2074,2039,126,126,13.0,29.0,19.0,178616.0,,,,178616.0,, ,
2023-01-18,,2474,可成,2039,1996,126,122,24.0,29.0,38.0,178616.0,4.0,,,178616.0,, ,
2023-02-01,,2474,可成,1947,2112,123,143,370.0,199.0,6.0,178616.0,3.0,23.0,,178616.0,, ,
2023-02-02,,2474,可成,1947,2112,123,143,370.0,199.0,6.0,178616.0,3.0,23.0,,178616.0,, ,
2023-02-03,,2474,可成,2058,1802,143,135,74.0,60.0,270.0,178616.0,8.0,,,178616.0,, ,
2023-02-04,,2474,可成,2058,1802,143,135,74.0,60.0,270.0,178616.0,8.0,,,178616.0,, ,
2023-02-06,,2474,可成,1802,1808,135,137,59.0,52.0,1.0,178616.0,,2.0,,178616.0,, ,
2023-02-07,,2474,可成,1808,1843,137,140,85.0,50.0,,178616.0,,3.0,,178616.0,, ,
2023-02-08,,2474,可成,1843,1916,140,142,172.0,99.0,,178616.0,1.0,3.0,,178616.0,, ,
2023-02-09,,2474,可成,1916,1917,142,144,41.0,40.0,,178616.0,,2.0,,178616.0,, ,
2023-02-10,,2474,可成,1917,1940,144,145,130.0,101.0,6.0,178616.0,3.0,4.0,,178616.0,, ,
2023-02-11,,2474,可成,1917,1940,144,145,130.0,101.0,6.0,178616.0,3.0,4.0,,178616.0,, ,
2023-02-13,,2474,可成,1940,2032,145,147,125.0,33.0,,178616.0,5.0,7.0,,178616.0,1.0, ,
2023-02-14,,2474,可成,2032,2054,147,151,50.0,22.0,6.0,178616.0,,4.0,,178616.0,, ,
2023-02-15,,2474,可成,2054,2079,151,158,46.0,21.0,,178616.0,,7.0,,178616.0,, ,
2023-02-16,,2474,可成,2079,2023,158,160,32.0,77.0,11.0,178616.0,2.0,4.0,,178616.0,, ,
2023-02-17,,2474,可成,2023,1940,160,159,33.0,116.0,,178616.0,2.0,1.0,,178616.0,, ,
2023-02-18,,2474,可成,2023,1940,160,159,33.0,116.0,,178616.0,2.0,1.0,,178616.0,, ,
2023-02-20,,2474,可成,1940,1829,159,159,21.0,132.0,,178616.0,1.0,1.0,,178616.0,, ,
2023-02-21,,2474,可成,1829,1814,159,158,25.0,40.0,,178616.0,1.0,,,178616.0,, ,
2023-02-22,,2474,可成,1814,1972,158,158,203,45,,178616,,,,178616,, ,
