,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,673.0,3037,欣興,33291,31715,5915,5637,,,,,,,,,,,False
2022-12-12,,3037,欣興,33126,33255,5454,6099,1613.0,1418.0,66.0,369591.0,145.0,797.0,7.0,369591.0,12.0, ,False
2022-12-13,,3037,欣興,33442,33600,6202,6855,1700.0,1542.0,,369591.0,541.0,1194.0,,369591.0,12.0, ,False
2022-12-14,,3037,欣興,33600,33992,6855,6768,1192.0,788.0,12.0,369591.0,634.0,551.0,4.0,369591.0,29.0, ,False
2022-12-15,,3037,欣興,33992,33281,6768,6975,395.0,1030.0,76.0,369591.0,168.0,477.0,102.0,369591.0,14.0, ,False
2022-12-18,,3037,欣興,33281,33523,6975,6819,2271.0,2023.0,6.0,369591.0,1254.0,1098.0,,369591.0,9.0, ,False
2022-12-19,,3037,欣興,33523,33975,6819,6476,991.0,526.0,13.0,369591.0,421.0,78.0,,369591.0,6.0, ,False
2022-12-20,,3037,欣興,33975,36619,6476,8775,5613.0,2907.0,62.0,369591.0,1200.0,3503.0,4.0,369591.0,41.0, ,False
2022-12-21,,3037,欣興,36619,37908,8775,5142,4140.0,2761.0,90.0,369591.0,3689.0,57.0,1.0,369591.0,, ,False
2022-12-23,,3037,欣興,39307,38559,5283,5319,1346.0,2077.0,17.0,369591.0,596.0,632.0,,369591.0,33.0, ,False
2022-12-26,,3037,欣興,38559,38977,5319,5380,960.0,537.0,5.0,369591.0,331.0,392.0,,369591.0,8.0, ,False
2022-12-27,,3037,欣興,38977,38997,5380,5175,882.0,837.0,25.0,369591.0,226.0,88.0,67.0,369591.0,7.0, ,False
2022-12-28,,3037,欣興,38997,38732,5175,5103,905.0,1145.0,25.0,369591.0,410.0,339.0,1.0,369591.0,3.0, ,False
2022-12-29,,3037,欣興,38732,38485,5103,4658,510.0,744.0,13.0,369591.0,819.0,374.0,,369591.0,15.0, ,False
2022-12-30,,3037,欣興,38485,38911,4658,4668,980.0,529.0,25.0,369591.0,178.0,191.0,3.0,369591.0,4.0, ,False
2023-01-03,,3037,欣興,38911,38476,4668,4982,658.0,1089.0,4.0,369591.0,120.0,434.0,,369591.0,5.0, ,
2023-01-04,,3037,欣興,38476,39399,4982,4733,1711.0,735.0,53.0,369591.0,719.0,565.0,95.0,369591.0,7.0, ,
2023-01-05,,3037,欣興,39399,39467,4733,7737,992.0,922.0,2.0,380950.0,390.0,3394.0,,380950.0,9.0, ,
2023-01-06,,3037,欣興,39467,38701,7737,7059,1345.0,2099.0,12.0,380950.0,583.0,540.0,635.0,380950.0,9.0, ,
2023-01-10,,3037,欣興,37645,37867,7025,6695,1061.0,830.0,9.0,380950.0,380.0,55.0,5.0,380950.0,1.0, ,
2023-01-11,,3037,欣興,37867,36894,6695,6537,656.0,1621.0,8.0,380950.0,210.0,73.0,21.0,380950.0,2.0, ,
2023-01-12,,3037,欣興,36894,36964,6537,6240,1231.0,1142.0,19.0,380950.0,374.0,77.0,,380950.0,8.0, ,
2023-01-14,,3037,欣興,36964,36176,6240,6339,862.0,1624.0,26.0,380950.0,92.0,256.0,65.0,380950.0,45.0, ,
2023-01-16,,3037,欣興,36176,35215,6339,6059,1046.0,1877.0,130.0,380950.0,422.0,173.0,31.0,380950.0,24.0, ,
2023-01-18,,3037,欣興,35215,35410,6059,4637,889.0,573.0,121.0,380950.0,1488.0,67.0,1.0,380950.0,2.0, ,
2023-02-01,,3037,欣興,34301,34232,4951,5148,1957.0,2019.0,7.0,380950.0,85.0,282.0,,380950.0,26.0, ,
2023-02-02,,3037,欣興,34301,34232,4951,5148,1957.0,2019.0,7.0,380950.0,85.0,282.0,,380950.0,26.0, ,
2023-02-03,,3037,欣興,34274,34443,4458,4325,2446.0,2262.0,15.0,380950.0,187.0,164.0,110.0,380950.0,15.0, ,
2023-02-04,,3037,欣興,34274,34443,4458,4325,2446.0,2262.0,15.0,380950.0,187.0,164.0,110.0,380950.0,15.0, ,
2023-02-06,,3037,欣興,34443,35446,4325,3507,2656.0,1649.0,4.0,380950.0,818.0,,,380950.0,, ,
2023-02-07,,3037,欣興,35446,36491,3507,3512,1561.0,514.0,2.0,380950.0,99.0,105.0,1.0,380950.0,6.0, ,
2023-02-08,,3037,欣興,36491,37295,3512,3435,1593.0,772.0,17.0,380950.0,36.0,69.0,110.0,380950.0,4.0, ,
2023-02-09,,3037,欣興,37295,36475,3435,3350,933.0,1704.0,49.0,380950.0,70.0,56.0,71.0,380950.0,5.0, ,
2023-02-10,,3037,欣興,36475,36578,3350,3449,1057.0,891.0,63.0,380950.0,74.0,173.0,,380950.0,2.0, ,
2023-02-11,,3037,欣興,36475,36578,3350,3449,1057.0,891.0,63.0,380950.0,74.0,173.0,,380950.0,2.0, ,
2023-02-13,,3037,欣興,36578,36540,3449,3433,415.0,446.0,7.0,380950.0,92.0,76.0,,380950.0,1.0, ,
2023-02-14,,3037,欣興,36540,36456,3433,3435,1078.0,1158.0,4.0,380950.0,68.0,70.0,,380950.0,13.0, ,
2023-02-15,,3037,欣興,36456,35481,3435,3641,1508.0,2449.0,34.0,380950.0,61.0,267.0,,380950.0,7.0, ,
2023-02-16,,3037,欣興,35459,36319,3639,3664,2525.0,1610.0,55.0,380950.0,58.0,83.0,,380950.0,25.0, ,
2023-02-17,,3037,欣興,36341,36199,3666,3693,1248.0,1326.0,64.0,380950.0,72.0,99.0,,380950.0,22.0, ,
2023-02-18,,3037,欣興,36341,36199,3666,3693,1248.0,1326.0,64.0,380950.0,72.0,99.0,,380950.0,22.0, ,
2023-02-20,,3037,欣興,36199,36913,3693,3616,1365.0,639.0,12.0,380950.0,110.0,33.0,,380950.0,2.0, ,
2023-02-21,,3037,欣興,36913,37487,3616,3598,1365.0,788.0,3.0,380950.0,52.0,34.0,,380950.0,10.0, ,
2023-02-22,,3037,欣興,37487,38651,3598,3664,1976.0,799.0,13.0,380950.0,137.0,204.0,1.0,380950.0,8.0, ,
2023-02-23,,3037,欣興,38651,38453,3664,2824,1353.0,1545.0,6.0,380950.0,1025.0,185.0,,380950.0,4.0, ,
2023-02-24,,3037,欣興,38453,39308,2824,2776,3261.0,2387.0,19.0,380950.0,359.0,312.0,1.0,380950.0,16.0, ,
2023-02-25,,3037,欣興,38453,39308,2824,2776,3261.0,2387.0,19.0,380950.0,359.0,312.0,1.0,380950.0,16.0, ,
2023-02-27,,3037,欣興,38453,39308,2824,2776,3261.0,2387.0,19.0,380950.0,359.0,312.0,1.0,380950.0,16.0, ,
2023-02-28,,3037,欣興,38453,39308,2824,2776,3261.0,2387.0,19.0,380950.0,359.0,312.0,1.0,380950.0,16.0, ,
2023-03-01,,3037,欣興,39308,38506,2776,3010,853.0,1648.0,7.0,380950.0,220.0,458.0,4.0,380950.0,12.0, ,
2023-03-02,,3037,欣興,38506,39168,3010,3054,2161,1478,21,380950,264,308,,380950,21, ,
