,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,611.0,2851,中再保,870,865,554.0,554.0,,,,,,,,,,,False
2022-12-12,,2851,中再保,859,829,518.0,518.0,7.0,37.0,,147597.0,,,,147597.0,, ,False
2022-12-13,,2851,中再保,834,836,521.0,523.0,2.0,,,147597.0,,2.0,,147597.0,, ,False
2022-12-14,,2851,中再保,836,827,523.0,534.0,21.0,30.0,,147597.0,,11.0,,147597.0,, ,False
2022-12-15,,2851,中再保,827,884,534.0,534.0,58.0,1.0,,147597.0,,,,147597.0,1.0, ,False
2022-12-18,,2851,中再保,884,884,534.0,537.0,21.0,20.0,1.0,147597.0,,3.0,,147597.0,, ,False
2022-12-20,,2851,中再保,880,848,537.0,669.0,12.0,44.0,,147597.0,,132.0,,147597.0,, ,False
2022-12-21,,2851,中再保,848,877,669.0,799.0,34.0,5.0,,147597.0,,130.0,,147597.0,7.0, ,False
2022-12-23,,2851,中再保,851,838,868.0,1045.0,1.0,12.0,2.0,147597.0,,277.0,100.0,147597.0,, ,False
2022-12-26,,2851,中再保,838,860,1045.0,1016.0,25.0,1.0,2.0,147597.0,,165.0,194.0,147597.0,, ,False
2022-12-27,,2851,中再保,860,824,1016.0,789.0,17.0,50.0,3.0,200097.0,,50.0,277.0,200097.0,, ,False
2022-12-28,,2851,中再保,824,1537,789.0,484.0,719.0,5.0,1.0,200097.0,151.0,,154.0,200097.0,3.0, ,False
2022-12-29,,2851,中再保,1537,4053,484.0,431.0,2567.0,51.0,,200097.0,3.0,,50.0,200097.0,, ,False
2022-12-30,,2851,中再保,4053,4390,431.0,372.0,657.0,320.0,,200097.0,,,59.0,200097.0,, ,False
2023-01-03,,2851,中再保,4390,4421,372.0,372.0,42.0,11.0,,200097.0,,,,200097.0,, ,
2023-01-04,,2851,中再保,4421,3691,372.0,342.0,1.0,681.0,50.0,200097.0,,1.0,31.0,200097.0,, ,
2023-01-05,,2851,中再保,3691,3186,342.0,1.0,3.0,507.0,1.0,200097.0,,,341.0,200097.0,, ,
2023-01-06,,2851,中再保,3186,2721,1.0,1.0,10.0,472.0,3.0,200097.0,,,,200097.0,, ,
2023-01-10,,2851,中再保,2929,2148,,,20.0,799.0,2.0,200097.0,,,,200097.0,1.0, ,
2023-01-11,,2851,中再保,2148,2074,,,5.0,24.0,55.0,200097.0,,,,200097.0,, ,
2023-01-12,,2851,中再保,2074,1957,,,32.0,131.0,18.0,200097.0,,,,200097.0,, ,
2023-01-14,,2851,中再保,1957,1710,,,62.0,308.0,1.0,200097.0,,,,200097.0,, ,
2023-01-16,,2851,中再保,1710,1673,,,26.0,63.0,,200097.0,,,,200097.0,, ,
2023-01-18,,2851,中再保,1673,1136,,,76.0,597.0,16.0,200097.0,,,,200097.0,, ,
2023-02-01,,2851,中再保,1155,1188,,,61.0,28.0,,200097.0,,,,200097.0,, ,
2023-02-02,,2851,中再保,1155,1188,,,61.0,28.0,,200097.0,,,,200097.0,, ,
2023-02-03,,2851,中再保,1227,1228,,7.0,50.0,49.0,,200097.0,,7.0,,200097.0,, ,
2023-02-04,,2851,中再保,1227,1228,,7.0,50.0,49.0,,200097.0,,7.0,,200097.0,, ,
2023-02-06,,2851,中再保,1228,1246,7.0,7.0,70.0,7.0,45.0,200097.0,,,,200097.0,, ,
2023-02-07,,2851,中再保,1246,1162,7.0,7.0,26.0,110.0,,200097.0,,,,200097.0,, ,
2023-02-08,,2851,中再保,1162,1163,7.0,7.0,44.0,31.0,12.0,200097.0,,,,200097.0,, ,
2023-02-09,,2851,中再保,1163,1133,7.0,7.0,,24.0,6.0,200097.0,,,,200097.0,, ,
2023-02-10,,2851,中再保,1133,1154,7.0,,26.0,5.0,,200097.0,7.0,,,200097.0,, ,
2023-02-11,,2851,中再保,1133,1154,7.0,,26.0,5.0,,200097.0,7.0,,,200097.0,, ,
2023-02-13,,2851,中再保,1154,964,,,13.0,203.0,,200097.0,,,,200097.0,, ,
2023-02-14,,2851,中再保,964,964,,,2.0,2.0,,200097.0,,,,200097.0,, ,
2023-02-15,,2851,中再保,964,982,,,22.0,4.0,,200097.0,,,,200097.0,, ,
2023-02-16,,2851,中再保,982,931,,,,51.0,,200097.0,,,,200097.0,, ,
2023-02-17,,2851,中再保,931,1027,,,122.0,26.0,,200097.0,,,,200097.0,, ,
2023-02-18,,2851,中再保,931,1027,,,122.0,26.0,,200097.0,,,,200097.0,, ,
2023-02-20,,2851,中再保,1027,1163,,,151.0,15.0,,200097.0,,,,200097.0,, ,
2023-02-21,,2851,中再保,1163,1249,,,87.0,1.0,,200097.0,,,,200097.0,, ,
2023-02-22,,2851,中再保,1249,1224,,,10.0,28.0,7.0,200097.0,,,,200097.0,, ,
2023-02-23,,2851,中再保,1224,1289,,,65.0,,,200097.0,,,,200097.0,, ,
2023-02-24,,2851,中再保,1289,1322,,,55.0,21.0,1.0,200097.0,,,,200097.0,, ,
2023-02-25,,2851,中再保,1289,1322,,,55.0,21.0,1.0,200097.0,,,,200097.0,, ,
2023-02-27,,2851,中再保,1289,1322,,,55.0,21.0,1.0,200097.0,,,,200097.0,, ,
2023-02-28,,2851,中再保,1289,1322,,,55.0,21.0,1.0,200097.0,,,,200097.0,, ,
2023-03-01,,2851,中再保,1322,1325,,,22.0,19.0,,200097.0,,,,200097.0,, ,
2023-03-02,,2851,中再保,1325,1259,,,2,68,,200097,,,,200097,, ,
