,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,567.0,2606,裕民,10909,10476,1011,1043,,,,,,,,,,,False
2022-12-12,,2606,裕民,10511,10373,981,1105,360.0,496.0,2.0,211263.0,23.0,147.0,,211263.0,8.0, ,False
2022-12-13,,2606,裕民,10394,10460,1126,1166,519.0,435.0,18.0,211263.0,6.0,46.0,,211263.0,3.0, ,False
2022-12-14,,2606,裕民,10460,9676,1166,1309,175.0,955.0,4.0,211263.0,59.0,202.0,,211263.0,4.0, ,False
2022-12-15,,2606,裕民,9676,9407,1309,1430,573.0,840.0,2.0,211263.0,102.0,223.0,,211263.0,22.0, ,False
2022-12-18,,2606,裕民,9407,9288,1430,1438,699.0,811.0,7.0,211263.0,64.0,72.0,,211263.0,21.0, ,False
2022-12-19,,2606,裕民,9288,9714,1438,1312,912.0,445.0,41.0,211263.0,251.0,125.0,,211263.0,11.0, ,False
2022-12-20,,2606,裕民,9714,9528,1312,1468,563.0,736.0,13.0,211263.0,53.0,209.0,,211263.0,26.0, ,False
2022-12-21,,2606,裕民,9528,9502,1468,1610,752.0,669.0,109.0,211263.0,101.0,243.0,,211263.0,39.0, ,False
2022-12-23,,2606,裕民,8905,8797,1806,1570,690.0,760.0,38.0,211263.0,291.0,55.0,,211263.0,11.0, ,False
2022-12-26,,2606,裕民,8797,8730,1570,1582,198.0,226.0,39.0,211263.0,90.0,102.0,,211263.0,, ,False
2022-12-27,,2606,裕民,8730,8621,1582,1543,71.0,167.0,13.0,211263.0,84.0,45.0,,211263.0,2.0, ,False
2022-12-28,,2606,裕民,8621,8196,1543,1496,82.0,462.0,45.0,211263.0,101.0,54.0,,211263.0,6.0, ,False
2022-12-29,,2606,裕民,8196,8057,1496,1711,137.0,247.0,29.0,211263.0,34.0,249.0,,211263.0,2.0, ,False
2022-12-30,,2606,裕民,8057,8007,1711,1760,99.0,116.0,33.0,211263.0,29.0,78.0,,211263.0,5.0, ,False
2023-01-03,,2606,裕民,8007,7817,1760,1692,399.0,542.0,47.0,211263.0,294.0,226.0,,211263.0,2.0, ,
2023-01-04,,2606,裕民,7817,6887,1692,1478,170.0,1037.0,63.0,211263.0,506.0,292.0,,211263.0,1.0, ,
2023-01-05,,2606,裕民,6887,6715,1478,1482,67.0,188.0,51.0,211263.0,55.0,59.0,,211263.0,1.0, ,
2023-01-06,,2606,裕民,6715,6467,1482,1307,60.0,148.0,160.0,211263.0,232.0,57.0,,211263.0,1.0, ,
2023-01-10,,2606,裕民,6340,6224,1231,1215,102.0,184.0,34.0,211263.0,43.0,27.0,,211263.0,1.0, ,
2023-01-11,,2606,裕民,6224,6067,1215,1247,81.0,228.0,10.0,211263.0,18.0,50.0,,211263.0,1.0, ,
2023-01-12,,2606,裕民,6067,5636,1247,1321,60.0,479.0,12.0,211263.0,49.0,123.0,,211263.0,2.0, ,
2023-01-14,,2606,裕民,5636,5340,1321,1375,140.0,433.0,3.0,211263.0,15.0,69.0,,211263.0,, ,
2023-01-16,,2606,裕民,5340,5388,1375,1438,141.0,78.0,15.0,211263.0,57.0,120.0,,211263.0,2.0, ,
2023-01-18,,2606,裕民,5388,5276,1438,1445,90.0,195.0,7.0,211263.0,33.0,41.0,1.0,211263.0,2.0, ,
2023-02-01,,2606,裕民,5310,5163,1329,1310,125.0,172.0,100.0,211263.0,58.0,39.0,,211263.0,2.0, ,
2023-02-02,,2606,裕民,5310,5163,1329,1310,125.0,172.0,100.0,211263.0,58.0,39.0,,211263.0,2.0, ,
2023-02-03,,2606,裕民,5134,5116,1303,1296,146.0,164.0,,211263.0,12.0,5.0,,211263.0,3.0, ,
2023-02-04,,2606,裕民,5134,5116,1303,1296,146.0,164.0,,211263.0,12.0,5.0,,211263.0,3.0, ,
2023-02-06,,2606,裕民,5116,4965,1296,1334,17.0,161.0,7.0,211263.0,8.0,46.0,,211263.0,1.0, ,
2023-02-07,,2606,裕民,4965,4674,1334,1360,30.0,304.0,17.0,211263.0,12.0,38.0,,211263.0,1.0, ,
2023-02-08,,2606,裕民,4674,4492,1360,1381,36.0,217.0,1.0,211263.0,4.0,25.0,,211263.0,1.0, ,
2023-02-09,,2606,裕民,4492,4310,1381,1378,55.0,232.0,5.0,211263.0,11.0,8.0,,211263.0,, ,
2023-02-10,,2606,裕民,4310,4138,1378,1403,39.0,211.0,,211263.0,,25.0,,211263.0,1.0, ,
2023-02-11,,2606,裕民,4310,4138,1378,1403,39.0,211.0,,211263.0,,25.0,,211263.0,1.0, ,
2023-02-13,,2606,裕民,4138,4210,1403,1391,158.0,86.0,,211263.0,29.0,17.0,,211263.0,, ,
2023-02-14,,2606,裕民,4210,4179,1391,1363,21.0,52.0,,211263.0,4.0,18.0,42.0,211263.0,1.0, ,
2023-02-15,,2606,裕民,4179,4101,1363,1398,15.0,92.0,1.0,211263.0,6.0,41.0,,211263.0,, ,
2023-02-16,,2606,裕民,4101,4119,1396,1377,142.0,124.0,,211263.0,21.0,2.0,,211263.0,1.0, ,
2023-02-17,,2606,裕民,4119,4196,1379,1508,251.0,172.0,2.0,211263.0,111.0,240.0,,211263.0,, ,
2023-02-18,,2606,裕民,4119,4196,1379,1508,251.0,172.0,2.0,211263.0,111.0,240.0,,211263.0,, ,
2023-02-20,,2606,裕民,4196,4016,1508,1504,109.0,287.0,2.0,211263.0,30.0,26.0,,211263.0,, ,
2023-02-21,,2606,裕民,4016,3883,1504,1503,63.0,184.0,12.0,211263.0,42.0,41.0,,211263.0,, ,
2023-02-22,,2606,裕民,3883,4403,1503,1505,699.0,173.0,6.0,211263.0,36.0,38.0,,211263.0,3.0, ,
2023-02-23,,2606,裕民,4403,4607,1505,1640,993.0,767.0,22.0,211263.0,149.0,284.0,,211263.0,12.0, ,
2023-02-24,,2606,裕民,4607,5020,1640,1778,1968.0,1521.0,34.0,211263.0,306.0,444.0,,211263.0,95.0, ,
2023-02-25,,2606,裕民,4607,5020,1640,1778,1968.0,1521.0,34.0,211263.0,306.0,444.0,,211263.0,95.0, ,
2023-02-27,,2606,裕民,4607,5020,1640,1778,1968.0,1521.0,34.0,211263.0,306.0,444.0,,211263.0,95.0, ,
2023-02-28,,2606,裕民,4607,5020,1640,1778,1968.0,1521.0,34.0,211263.0,306.0,444.0,,211263.0,95.0, ,
2023-03-01,,2606,裕民,5020,6561,1778,1518,2783.0,1180.0,62.0,211263.0,301.0,41.0,,211263.0,15.0, ,
2023-03-02,,2606,裕民,6561,6634,1518,1555,1701.0,1627.0,1.0,211263.0,59.0,196.0,100.0,211263.0,66.0, ,
2023-03-03,,2606,裕民,6634,6988,1555,1440,953.0,597.0,2.0,211263.0,171.0,56.0,,211263.0,11.0, ,
2023-03-04,,2606,裕民,6634,6988,1555,1440,953.0,597.0,2.0,211263.0,171.0,56.0,,211263.0,11.0, ,
2023-03-06,,2606,裕民,6988,6662,1440,1447,414.0,738.0,2.0,211263.0,87.0,95.0,1.0,211263.0,12.0, ,
2023-03-07,,2606,裕民,6662,6575,1447,1468,810,897,,211263,17,38,,211263,1, ,
