,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,1078.0,9919,康那香,5889,5926,1520,1486,,,,,,,,,,,False
2022-12-12,,9919,康那香,5984,6346,1486,1809,831.0,469.0,,48840.0,18.0,341.0,,48840.0,8.0, ,False
2022-12-13,,9919,康那香,6150,6235,1542,1469,149.0,63.0,1.0,48840.0,79.0,7.0,1.0,48840.0,2.0, ,False
2022-12-14,,9919,康那香,6235,6042,1469,1529,37.0,228.0,2.0,48840.0,26.0,86.0,,48840.0,, ,False
2022-12-15,,9919,康那香,6042,6010,1529,1504,82.0,114.0,,48840.0,34.0,9.0,,48840.0,, ,False
2022-12-18,,9919,康那香,6010,6115,1504,1410,165.0,59.0,1.0,48840.0,98.0,6.0,2.0,48840.0,, ,False
2022-12-19,,9919,康那香,6115,5860,1410,1878,102.0,354.0,3.0,48840.0,24.0,492.0,,48840.0,, ,False
2022-12-20,,9919,康那香,5860,6312,1878,1515,999.0,547.0,,48840.0,405.0,42.0,,48840.0,36.0, ,False
2022-12-21,,9919,康那香,6312,6638,1515,1423,550.0,224.0,,48840.0,120.0,28.0,,48840.0,, ,False
2022-12-23,,9919,康那香,6523,6616,1440,1648,551.0,458.0,,48840.0,7.0,215.0,,48840.0,5.0, ,False
2022-12-26,,9919,康那香,6616,6155,1648,2049,283.0,744.0,,48840.0,5.0,406.0,,48840.0,13.0, ,False
2022-12-27,,9919,康那香,6155,6280,2049,1910,187.0,62.0,,48840.0,151.0,12.0,,48840.0,1.0, ,False
2022-12-28,,9919,康那香,6280,6276,1910,1860,117.0,121.0,,48840.0,50.0,,,48840.0,, ,False
2022-12-29,,9919,康那香,6276,6309,1860,1869,114.0,81.0,,48840.0,8.0,17.0,,48840.0,1.0, ,False
2022-12-30,,9919,康那香,6309,6252,1869,1944,116.0,166.0,7.0,48840.0,1.0,76.0,,48840.0,2.0, ,False
2023-01-03,,9919,康那香,6252,6506,1944,1837,339.0,85.0,,48840.0,120.0,13.0,,48840.0,, ,
2023-01-04,,9919,康那香,6506,6357,1837,1804,92.0,241.0,,48840.0,59.0,26.0,,48840.0,1.0, ,
2023-01-05,,9919,康那香,6357,6272,1804,1582,41.0,126.0,,48840.0,,18.0,240.0,48840.0,, ,
2023-01-06,,9919,康那香,6272,6299,1582,1576,105.0,78.0,,48840.0,18.0,12.0,,48840.0,1.0, ,
2023-01-10,,9919,康那香,6287,6182,1542,1561,60.0,163.0,2.0,48840.0,23.0,42.0,,48840.0,, ,
2023-01-11,,9919,康那香,6182,6180,1561,1528,38.0,40.0,,48840.0,33.0,,,48840.0,, ,
2023-01-12,,9919,康那香,6180,6212,1528,1524,42.0,10.0,,48840.0,6.0,2.0,,48840.0,, ,
2023-01-14,,9919,康那香,6212,6216,1524,1534,14.0,9.0,1.0,48840.0,8.0,18.0,,48840.0,, ,
2023-01-16,,9919,康那香,6216,6149,1534,1490,4.0,69.0,2.0,48840.0,54.0,10.0,,48840.0,, ,
2023-01-18,,9919,康那香,6149,6448,1490,1431,344.0,44.0,1.0,48840.0,74.0,15.0,,48840.0,, ,
2023-02-01,,9919,康那香,6355,6385,1495,1536,58.0,27.0,1.0,48840.0,4.0,45.0,,48840.0,, ,
2023-02-02,,9919,康那香,6355,6385,1495,1536,58.0,27.0,1.0,48840.0,4.0,45.0,,48840.0,, ,
2023-02-03,,9919,康那香,6174,6161,1539,1534,5.0,17.0,1.0,48840.0,6.0,1.0,,48840.0,, ,
2023-02-04,,9919,康那香,6174,6161,1539,1534,5.0,17.0,1.0,48840.0,6.0,1.0,,48840.0,, ,
2023-02-06,,9919,康那香,6161,6138,1534,1524,25.0,44.0,4.0,48840.0,16.0,6.0,,48840.0,, ,
2023-02-07,,9919,康那香,6138,6144,1524,1519,42.0,36.0,,48840.0,5.0,,,48840.0,, ,
2023-02-08,,9919,康那香,6144,6211,1519,1509,82.0,15.0,,48840.0,13.0,3.0,,48840.0,, ,
2023-02-09,,9919,康那香,6211,6293,1509,1509,100.0,18.0,,48840.0,1.0,1.0,,48840.0,, ,
2023-02-10,,9919,康那香,6293,6375,1509,1513,105.0,21.0,2.0,48840.0,8.0,12.0,,48840.0,, ,
2023-02-11,,9919,康那香,6293,6375,1509,1513,105.0,21.0,2.0,48840.0,8.0,12.0,,48840.0,, ,
2023-02-13,,9919,康那香,6375,6365,1513,1512,7.0,16.0,1.0,48840.0,13.0,12.0,,48840.0,, ,
2023-02-14,,9919,康那香,6365,6515,1512,1505,167.0,17.0,,48840.0,11.0,4.0,,48840.0,1.0, ,
2023-02-15,,9919,康那香,6515,6607,1505,1504,107.0,15.0,,48840.0,8.0,7.0,,48840.0,1.0, ,
2023-02-16,,9919,康那香,6605,6618,1504,1499,36.0,23.0,,48840.0,5.0,,,48840.0,, ,
2023-02-17,,9919,康那香,6620,6633,1499,1490,26.0,13.0,,48840.0,17.0,8.0,,48840.0,, ,
2023-02-18,,9919,康那香,6620,6633,1499,1490,26,13,,48840,17,8,,48840,, ,
