,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,344.0,2002,中鋼,20565,20468,3715,3852,,,,,,,,,,,False
2022-12-12,,2002,中鋼,20210,20382,3968,3820,302.0,122.0,8.0,3933715.0,205.0,57.0,,3933715.0,2.0, ,False
2022-12-13,,2002,中鋼,20404,21837,3406,3526,1753.0,312.0,8.0,3933715.0,153.0,273.0,,3933715.0,6.0, ,False
2022-12-14,,2002,中鋼,21837,20704,3526,3245,229.0,1360.0,2.0,3933715.0,252.0,17.0,46.0,3933715.0,, ,False
2022-12-15,,2002,中鋼,20704,20732,3245,3733,509.0,472.0,9.0,3933715.0,16.0,504.0,,3933715.0,, ,False
2022-12-18,,2002,中鋼,20732,20634,3733,3895,345.0,432.0,11.0,3933715.0,326.0,488.0,,3933715.0,1.0, ,False
2022-12-19,,2002,中鋼,20634,21203,3895,3166,1100.0,488.0,43.0,3933715.0,796.0,67.0,,3933715.0,, ,False
2022-12-20,,2002,中鋼,21203,20655,3166,2979,201.0,689.0,60.0,3933715.0,320.0,133.0,,3933715.0,15.0, ,False
2022-12-21,,2002,中鋼,20655,20407,2979,3657,971.0,1218.0,1.0,3933715.0,55.0,733.0,,3933715.0,18.0, ,False
2022-12-23,,2002,中鋼,19457,18926,4090,4002,356.0,872.0,15.0,3933715.0,175.0,127.0,40.0,3933715.0,3.0, ,False
2022-12-26,,2002,中鋼,18926,18682,4002,4033,229.0,462.0,11.0,3933715.0,115.0,146.0,,3933715.0,10.0, ,False
2022-12-27,,2002,中鋼,18682,18582,4033,3502,308.0,375.0,33.0,3933715.0,412.0,16.0,135.0,3933715.0,1.0, ,False
2022-12-28,,2002,中鋼,18582,18406,3502,3596,490.0,641.0,25.0,3933715.0,73.0,167.0,,3933715.0,, ,False
2022-12-29,,2002,中鋼,18406,19093,3596,3124,864.0,156.0,21.0,3933715.0,511.0,39.0,,3933715.0,4.0, ,False
2022-12-30,,2002,中鋼,19093,18775,3124,3142,238.0,532.0,24.0,3933715.0,19.0,37.0,,3933715.0,, ,False
2023-01-03,,2002,中鋼,18775,18596,3142,3168,605.0,653.0,131.0,3933715.0,84.0,110.0,,3933715.0,13.0, ,
