,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,1010.0,8046,南電,12149,11847,3629,3966,,,,,,,,,,,False
2022-12-12,,8046,南電,12127,12250,4195,4646,1230.0,1042.0,65.0,161541.0,70.0,521.0,,161541.0,5.0, ,False
2022-12-13,,8046,南電,12352,12165,4658,4799,1149.0,1331.0,5.0,161541.0,102.0,243.0,,161541.0,4.0, ,False
2022-12-14,,8046,南電,12165,12570,4799,4980,1075.0,667.0,3.0,161541.0,113.0,294.0,,161541.0,, ,False
2022-12-15,,8046,南電,12570,12690,4980,5119,548.0,428.0,,161541.0,18.0,158.0,1.0,161541.0,, ,False
2022-12-18,,8046,南電,12690,12020,5119,5144,960.0,1613.0,17.0,161541.0,242.0,267.0,,161541.0,2.0, ,False
2022-12-19,,8046,南電,12020,12279,5144,5144,632.0,371.0,2.0,161541.0,61.0,61.0,,161541.0,, ,False
2022-12-20,,8046,南電,12279,11523,5144,5253,1454.0,2195.0,15.0,161541.0,171.0,280.0,,161541.0,6.0, ,False
2022-12-21,,8046,南電,11523,11746,5253,4612,994.0,768.0,3.0,161541.0,684.0,43.0,,161541.0,, ,False
2022-12-23,,8046,南電,11846,11907,4701,4796,633.0,571.0,1.0,161541.0,140.0,293.0,58.0,161541.0,3.0, ,False
2022-12-26,,8046,南電,11907,12087,4796,4718,421.0,241.0,,161541.0,67.0,135.0,146.0,161541.0,, ,False
2022-12-27,,8046,南電,12087,11931,4718,4786,218.0,373.0,1.0,161541.0,57.0,125.0,,161541.0,1.0, ,False
2022-12-28,,8046,南電,11931,11710,4786,4771,274.0,493.0,2.0,161541.0,129.0,158.0,44.0,161541.0,8.0, ,False
2022-12-29,,8046,南電,11710,11590,4771,4673,312.0,425.0,7.0,161541.0,211.0,154.0,41.0,161541.0,6.0, ,False
2022-12-30,,8046,南電,11590,11780,4673,4762,500.0,283.0,27.0,161541.0,105.0,194.0,,161541.0,6.0, ,False
2023-01-03,,8046,南電,11780,11841,4762,4551,496.0,396.0,39.0,161541.0,314.0,103.0,,161541.0,, ,
2023-01-04,,8046,南電,11841,12905,4551,4826,1483.0,414.0,5.0,161541.0,201.0,476.0,,161541.0,2.0, ,
2023-01-05,,8046,南電,12905,12825,4826,4972,741.0,764.0,57.0,161541.0,133.0,279.0,,161541.0,, ,
2023-01-06,,8046,南電,12825,12826,4972,4870,823.0,700.0,122.0,161541.0,261.0,159.0,,161541.0,12.0, ,
2023-01-10,,8046,南電,12698,12932,4855,4972,681.0,434.0,13.0,161541.0,86.0,205.0,2.0,161541.0,8.0, ,
2023-01-11,,8046,南電,12932,13139,4972,4748,585.0,362.0,16.0,161541.0,248.0,24.0,,161541.0,3.0, ,
2023-01-12,,8046,南電,13139,12786,4748,4569,291.0,617.0,27.0,161541.0,239.0,120.0,60.0,161541.0,2.0, ,
2023-01-14,,8046,南電,12786,12626,4569,4421,687.0,831.0,16.0,161541.0,100.0,61.0,109.0,161541.0,5.0, ,
2023-01-16,,8046,南電,12626,12634,4421,4316,423.0,390.0,25.0,161541.0,120.0,40.0,25.0,161541.0,8.0, ,
