,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2023-02-23,,2498,宏達電,53031,52208,20763,20817,3284.0,4102.0,5.0,206895.0,615.0,675.0,6.0,206895.0,40.0, ,
2023-02-24,,2498,宏達電,52208,48612,20817,20253,3229.0,6821.0,4.0,206895.0,532.0,119.0,151.0,206895.0,52.0, ,
2023-02-25,,2498,宏達電,52208,48612,20817,20253,3229.0,6821.0,4.0,206895.0,532.0,119.0,151.0,206895.0,52.0, ,
2023-02-27,,2498,宏達電,52208,48612,20817,20253,3229.0,6821.0,4.0,206895.0,532.0,119.0,151.0,206895.0,52.0, ,
2023-02-28,,2498,宏達電,52208,48612,20817,20253,3229.0,6821.0,4.0,206895.0,532.0,119.0,151.0,206895.0,52.0, ,
2023-03-01,,2498,宏達電,48612,49458,20253,20468,3726.0,2855.0,25.0,206895.0,48.0,268.0,5.0,206895.0,27.0, ,
2023-03-02,,2498,宏達電,49458,49684,20468,20422,2873.0,2646.0,1.0,206895.0,314.0,271.0,3.0,206895.0,11.0, ,
2023-03-03,,2498,宏達電,49684,49603,20422,20000,2257.0,2338.0,,206895.0,521.0,100.0,1.0,206895.0,32.0, ,
2023-03-04,,2498,宏達電,49684,49603,20422,20000,2257.0,2338.0,,206895.0,521.0,100.0,1.0,206895.0,32.0, ,
2023-03-06,,2498,宏達電,49603,49035,20000,20350,1118.0,1686.0,,206895.0,291.0,641.0,,206895.0,27.0, ,
2023-03-07,,2498,宏達電,49035,48498,20350,20594,1172,1658,51,206895,109,354,1,206895,7, ,
