,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,402.0,2305,全友,18790,18715,2643,2721,,,,,,,,,,,False
2022-12-12,,2305,全友,18729,18695,2680,2537,37.0,71.0,,42355.0,83.0,10.0,70.0,42355.0,1.0, ,False
2022-12-13,,2305,全友,18695,18762,2528,2506,93.0,26.0,,42355.0,30.0,8.0,,42355.0,, ,False
2022-12-14,,2305,全友,18762,18763,2506,2410,35.0,34.0,,42355.0,106.0,10.0,,42355.0,, ,False
2022-12-15,,2305,全友,18763,18817,2410,2337,105.0,44.0,7.0,42355.0,14.0,11.0,70.0,42355.0,, ,False
2022-12-18,,2305,全友,18817,18733,2337,2350,47.0,131.0,,42355.0,71.0,84.0,,42355.0,, ,False
2022-12-19,,2305,全友,18733,18654,2350,1895,62.0,141.0,,42355.0,59.0,46.0,442.0,42355.0,, ,False
2022-12-20,,2305,全友,18654,18378,1895,1864,35.0,311.0,,42355.0,61.0,30.0,,42355.0,, ,False
2022-12-21,,2305,全友,18378,18383,1864,1874,41.0,34.0,2.0,42355.0,41.0,51.0,,42355.0,, ,False
2022-12-23,,2305,全友,18395,18343,1857,1828,26.0,76.0,2.0,42355.0,63.0,34.0,,42355.0,, ,False
2022-12-26,,2305,全友,18343,18379,1828,1626,91.0,55.0,,42355.0,52.0,14.0,164.0,42355.0,, ,False
2022-12-27,,2305,全友,18379,18349,1626,1553,59.0,89.0,,42355.0,75.0,2.0,,42355.0,, ,False
2022-12-28,,2305,全友,18349,18341,1553,1522,50.0,58.0,,42355.0,62.0,31.0,,42355.0,, ,False
2022-12-29,,2305,全友,18341,18338,1522,1520,10.0,13.0,,42355.0,52.0,50.0,,42355.0,, ,False
2022-12-30,,2305,全友,18338,18357,1520,1486,24.0,5.0,,42355.0,35.0,1.0,,42355.0,, ,False
2023-01-03,,2305,全友,18357,18291,1486,1380,22.0,88.0,,42355.0,110.0,4.0,,42355.0,, ,
2023-01-04,,2305,全友,18291,18291,1380,1297,57.0,57.0,,42355.0,89.0,6.0,,42355.0,, ,
2023-01-05,,2305,全友,18291,18297,1297,1247,31.0,25.0,,42355.0,52.0,2.0,,42355.0,, ,
2023-01-06,,2305,全友,18297,18288,1247,1207,19.0,27.0,1.0,42355.0,53.0,13.0,,42355.0,, ,
2023-01-10,,2305,全友,15282,15260,1181,1243,27.0,49.0,,42355.0,16.0,78.0,,42355.0,, ,
2023-01-11,,2305,全友,15260,15238,1243,1224,16.0,38.0,,42355.0,25.0,7.0,1.0,42355.0,, ,
2023-01-12,,2305,全友,15238,15257,1224,1200,38.0,19.0,,42355.0,29.0,5.0,,42355.0,, ,
2023-01-14,,2305,全友,15257,15232,1200,1170,22.0,46.0,1.0,42355.0,31.0,1.0,,42355.0,, ,
2023-01-16,,2305,全友,15232,15214,1170,1104,9.0,24.0,3.0,42355.0,86.0,20.0,,42355.0,, ,
2023-01-18,,2305,全友,15214,15182,1104,1059,1.0,33.0,,42355.0,46.0,1.0,,42355.0,, ,
2023-02-01,,2305,全友,15197,15216,1043,1034,25.0,6.0,,42355.0,12.0,3.0,,42355.0,, ,
2023-02-02,,2305,全友,15197,15216,1043,1034,25.0,6.0,,42355.0,12.0,3.0,,42355.0,, ,
2023-02-03,,2305,全友,15242,15281,1005,983,52.0,13.0,,42355.0,22.0,,,42355.0,, ,
2023-02-04,,2305,全友,15242,15281,1005,983,52.0,13.0,,42355.0,22.0,,,42355.0,, ,
2023-02-06,,2305,全友,15281,15292,983,983,20.0,9.0,,42355.0,2.0,2.0,,42355.0,, ,
2023-02-07,,2305,全友,15292,15306,983,985,20.0,6.0,,42355.0,7.0,9.0,,42355.0,, ,
2023-02-08,,2305,全友,15306,15322,985,984,25.0,9.0,,42355.0,4.0,3.0,,42355.0,, ,
2023-02-09,,2305,全友,15322,15312,984,956,64.0,74.0,,42355.0,34.0,6.0,,42355.0,, ,
2023-02-10,,2305,全友,15312,15293,956,969,62.0,81.0,,42355.0,4.0,17.0,,42355.0,, ,
2023-02-11,,2305,全友,15312,15293,956,969,62.0,81.0,,42355.0,4.0,17.0,,42355.0,, ,
2023-02-13,,2305,全友,15293,15337,969,949,51.0,7.0,,42355.0,22.0,2.0,,42355.0,1.0, ,
2023-02-14,,2305,全友,15337,15317,949,931,34.0,54.0,,42355.0,18.0,,,42355.0,, ,
2023-02-15,,2305,全友,15317,15320,931,939,9.0,6.0,,42355.0,,8.0,,42355.0,, ,
2023-02-16,,2305,全友,15320,15379,939,942,63.0,4.0,,42355.0,2.0,5.0,,42355.0,, ,
2023-02-17,,2305,全友,15379,15383,942,942,16.0,12.0,,42355.0,2.0,2.0,,42355.0,, ,
2023-02-18,,2305,全友,15379,15383,942,942,16,12,,42355,2,2,,42355,, ,
