lhdate,lhprice,lhcount
2022-03-28,131.5,0.0
2022-05-04,115.0,0.0
2022-05-18,110.5,0.0
2022-06-08,114.5,0.0
2022-07-08,89.3,0.0
2022-07-21,97.9,0.0
2022-08-19,87.1,0.0
2022-09-15,95.5,0.0
2022-10-04,90.7,0.0
2022-10-19,91.6,0.0
2022-11-18,113.0,0.0
2022-12-01,112.5,0.0
2022-12-15,114.0,0.0
2023-01-30,119.5,0.0
2023-02-08,120.0,0.0
