lhdate,lhprice,lhcount
2022-03-30,54.5,0.0
2022-05-05,49.1,0.0
2022-05-18,50.9,0.0
2022-06-08,52.4,0.0
2022-07-07,39.85,0.0
2022-07-21,42.8,0.0
2022-08-15,43.5,0.0
2022-09-13,40.75,0.0
2022-10-06,38.95,0.0
2022-10-20,39.5,0.0
2022-11-15,46.6,0.0
2022-11-24,46.2,0.0
2022-12-14,44.45,0.0
2023-02-11,50.8,0.0
