lhdate,lhprice,lhcount
2022-03-17,29.2,0.0
2022-03-03,28.4,0.0
2022-03-17,29.2,0.0
2022-04-22,29.85,0.0
2022-05-04,28.75,0.0
2022-06-02,27.4,0.0
2022-06-29,23.6,0.0
2022-07-19,23.6,0.0
2022-08-12,22.05,0.0
2022-08-26,22.9,0.0
2022-10-07,20.35,0.0
2022-10-27,17.2,0.0
2022-12-09,19.65,0.0
