lhdate,lhprice,lhcount
2022-03-21,13.4,0.0
2022-04-06,13.55,0.0
2022-04-22,13.7,0.0
2022-06-09,13.25,0.0
2022-06-27,13.05,0.0
2022-08-31,22.8,0.0
2022-09-20,18.9,0.0
2022-10-19,22.2,0.0
2022-11-07,29.0,0.0
2022-11-21,31.85,0.0
2022-12-02,32.7,0.0
2022-12-25,27.35,0.0
