日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,422317.0,4728218.0,11.1,11.3,11.1,11.15,+0.10,214.0,False,,,,,,
111/03/02,337633.0,3764263.0,11.1,11.2,11.1,11.15, 0.00,150.0,False,,,,,,
111/03/03,317322.0,3547962.0,11.3,11.3,11.1,11.1,-0.05,150.0,False,,,,,,
111/03/04,280336.0,3091181.0,11.0,11.1,11.0,11.0,-0.10,162.0,False,,,,,,
111/03/07,966915.0,10473385.0,11.0,11.0,10.7,10.8,-0.20,340.0,False,,,,11.040000000000001,,
111/03/08,1269929.0,13827078.0,10.8,11.15,10.65,10.7,-0.10,414.0,False,,,,10.950000000000001,,
111/03/09,521450.0,5645171.0,10.75,10.9,10.75,10.8,+0.10,195.0,False,,,,10.880000000000003,,
111/03/10,526147.0,5806866.0,10.95,11.1,10.95,11.0,+0.20,238.0,False,,,,10.860000000000001,,
111/03/11,514939.0,5686897.0,11.0,11.15,10.95,11.05,+0.05,178.0,False,0.6153846153846156,0.5384615384615385,0.5128205128205128,10.870000000000001,,
111/03/14,3081877.0,35266875.0,11.1,11.8,11.1,11.4,+0.35,940.0,False,0.652173913043478,0.5763656633221851,0.5340022296544035,10.990000000000004,11.015,
111/03/15,1208945.0,13803387.0,11.55,11.55,11.3,11.45,+0.05,467.0,False,0.6956521739130423,0.6161278335191374,0.561377430942648,11.140000000000004,11.045,
111/03/16,1057048.0,12141644.0,11.55,11.7,11.3,11.4,-0.05,382.0,False,0.652173913043478,0.6281431933605842,0.58363268508196,11.260000000000005,11.07,
111/03/17,1601250.0,18470643.0,11.55,11.7,11.45,11.6,+0.20,447.0,False,0.8260869565217382,0.6941244477476355,0.6204632726371851,11.380000000000004,11.120000000000001,
111/03/18,1015746.0,11927368.0,11.75,11.85,11.6,11.75,+0.15,333.0,False,0.916666666666667,0.7683051873873126,0.6697439108872276,11.520000000000005,11.195,
111/03/21,608206.0,7218454.0,11.95,12.0,11.8,11.85,+0.10,262.0,False,0.8799999999999997,0.8055367915915416,0.7150082044553323,11.610000000000003,11.3,
111/03/22,900443.0,10734277.0,11.9,12.1,11.8,11.85, 0.00,311.0,False,0.7826086956521741,0.7978940929450857,0.7426368339519167,11.690000000000003,11.415,
111/03/23,814347.0,9756130.0,12.0,12.1,11.9,11.95,+0.10,327.0,False,0.8695652173913041,0.8217844677604917,0.769019378554775,11.800000000000004,11.53,
111/03/24,1682820.0,20338686.0,12.1,12.2,11.95,12.1,+0.15,593.0,False,0.9090909090909094,0.8508866148706309,0.7963084573267271,11.900000000000004,11.639999999999999,
111/03/25,913607.0,10861840.0,12.1,12.2,11.7,11.7,-0.40,434.0,False,0.4444444444444436,0.7154058913952349,0.7693409353495628,11.890000000000004,11.705,
111/03/28,681560.0,7897152.0,11.75,11.75,11.45,11.7, 0.00,259.0,False,0.4444444444444436,0.6250854090783045,0.7212557599258101,11.860000000000003,11.735,11.374999999999996
111/03/29,22352950.0,285789058.0,12.85,12.85,12.45,12.85,+1.15,4660.0,False,1.0,0.7500569393855363,0.7308561530790519,12.060000000000004,11.874999999999998,11.459999999999997
111/03/30,13133067.0,168493698.0,13.0,13.05,12.55,12.85, 0.00,4903.0,False,0.8749999999999994,0.7917046262570241,0.7511389774717093,12.240000000000004,12.02,11.544999999999996
111/03/31,2897867.0,36877234.0,12.85,12.85,12.65,12.65,-0.20,1217.0,False,0.75,0.7778030841713492,0.7600270130382559,12.350000000000005,12.125,11.622499999999997
111/04/01,2154241.0,26778342.0,12.4,12.55,12.35,12.4,-0.25,1199.0,False,0.5937500000000001,0.7164520561142329,0.7455020273969148,12.490000000000004,12.190000000000001,11.692499999999997
111/04/06,1659834.0,20900407.0,12.7,12.7,12.5,12.55,+0.15,749.0,False,0.6875000000000002,0.706801370742822,0.7326018085122172,12.660000000000002,12.260000000000002,11.779999999999998
111/04/07,1666237.0,20464671.0,12.5,12.55,12.05,12.1,-0.45,748.0,False,0.4062499999999999,0.6066175804952146,0.6906070658398831,12.510000000000002,12.285000000000002,11.849999999999998
111/04/08,1023149.0,12580999.0,12.2,12.4,12.15,12.25,+0.15,413.0,False,0.5,0.5710783869968097,0.6507641728921919,12.390000000000002,12.315000000000001,11.922499999999996
111/04/11,1514839.0,18253377.0,12.25,12.4,11.95,12.0,-0.25,608.0,False,0.3437500000000001,0.4953022579978731,0.5989435345940857,12.260000000000003,12.305000000000003,11.972499999999997
111/04/12,1698456.0,20761835.0,12.2,12.35,12.1,12.3,+0.30,631.0,False,0.31818181818181906,0.43626211139252175,0.5447163935268977,12.240000000000006,12.365000000000006,12.034999999999997
111/04/13,1266589.0,15587994.0,12.5,12.5,12.2,12.35,+0.05,484.0,False,0.3636363636363635,0.4120535288071357,0.5004954386203103,12.200000000000006,12.430000000000005,12.082499999999996
111/04/14,1609741.0,19761865.0,12.5,12.5,12.1,12.15,-0.20,542.0,False,0.22222222222222326,0.3487764266121648,0.4499224346175951,12.210000000000006,12.360000000000005,12.117499999999996
111/04/15,700308.0,8495201.0,12.1,12.2,12.05,12.2,+0.05,363.0,False,0.3333333333333333,0.3436287288525543,0.4144911993625815,12.200000000000006,12.295000000000005,12.157499999999995
111/04/18,818499.0,9925231.0,12.3,12.3,12.05,12.05,-0.15,369.0,False,0.13333333333333522,0.27353026367948124,0.3675042208015481,12.210000000000004,12.235000000000005,12.179999999999996
