pldate,plprice,plcount
2022-03-08,41.0,0.0
2022-04-07,41.0,0.0
2022-04-28,42.45,0.0
2022-07-01,29.3,0.0
2022-08-04,29.85,0.0
2022-09-05,26.1,0.0
2022-11-03,21.6,0.0
2022-12-14,24.7,0.0
