pldate,plprice,plcount
2022-04-12,349.0,0.0
2022-05-24,322.0,0.0
2022-07-06,298.0,0.0
2022-08-15,252.5,0.0
2022-09-07,242.0,0.0
2022-10-11,225.0,0.0
2022-12-19,264.0,0.0
2023-01-12,265.0,0.0
