pldate,plprice,plcount
2022-03-31,88.3,0.0
2022-05-20,74.5,0.0
2022-06-20,78.9,0.0
2022-07-06,75.0,0.0
2022-09-02,77.9,0.0
2022-11-04,66.7,0.0
