pldate,plprice,plcount
2022-04-25,119.0,0.0
2022-05-24,124.0,0.0
2022-07-06,100.0,0.0
2022-09-07,110.0,0.0
2022-10-11,104.0,0.0
2022-12-20,116.0,0.0
