pldate,plprice,plcount
2022-05-12,19.25,0.0
2022-07-06,19.95,0.0
2022-08-24,24.7,0.0
2022-09-26,24.25,0.0
2022-10-26,22.55,0.0
2022-12-30,23.6,0.0
2023-01-17,23.45,0.0
