日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,5MA,10MA,20MA,60MA
111/02/16,"6,906,308","995,478,507",143.9,144.45,143.8,144.4,+2.35,"9,252",143.82999999999996,143.09500000000006,145.7975,
111/02/17,"5,161,916","746,195,906",144.4,145.0,144.0,144.5,+0.10,"7,328",143.71999999999994,143.38000000000005,145.60750000000002,
111/02/18,"4,068,622","584,581,991",143.5,144.15,143.05,144.1,-0.40,"5,997",143.54999999999995,143.63500000000005,145.33499999999998,
111/02/21,"4,807,904","689,347,421",143.45,143.85,142.8,143.8,-0.30,"8,772",143.76999999999992,143.78500000000003,145.01,
111/02/22,"20,814,988","2,943,619,804",142.6,142.65,140.75,141.85,-1.95,"42,631",143.72999999999993,143.68,144.58749999999998,
111/02/23,"4,803,500","681,745,270",141.85,142.4,141.65,142.25,+0.40,"8,142",143.29999999999993,143.565,144.09999999999997,
111/02/24,"32,725,876","4,565,434,642",141.1,141.1,138.3,138.8,-3.45,"67,346",142.15999999999994,142.94,143.52499999999998,
111/02/25,"24,731,645","3,424,810,229",139.05,139.2,137.85,138.5,-0.30,"43,146",141.03999999999994,142.29500000000002,143.02499999999998,
111/03/01,"8,694,504","1,218,632,723",139.05,140.8,138.85,140.45,+1.95,"12,259",140.36999999999995,142.07,142.59249999999997,
111/03/02,"6,778,502","946,372,757",140.0,140.1,139.2,139.65,-0.80,"14,073",139.92999999999992,141.83,142.44249999999997,
111/03/03,"4,742,921","664,351,237",140.5,140.8,139.85,139.95,+0.30,"7,830",139.46999999999994,141.38500000000002,142.23999999999995,
111/03/04,"14,283,278","1,977,417,838",138.5,138.85,137.95,138.45,-1.50,"33,012",139.39999999999995,140.78000000000003,142.07999999999996,
111/03/07,"57,431,892","7,712,383,575",136.9,136.9,133.75,134.0,-4.45,"104,615",138.49999999999994,139.77000000000004,141.70249999999993,
111/03/08,"46,246,906","6,098,512,055",132.45,133.15,131.0,131.15,-2.85,"86,528",136.63999999999996,138.50500000000005,141.14499999999992,
111/03/09,"22,656,321","3,007,269,415",132.2,133.25,132.2,132.5,+1.35,"33,257",135.20999999999998,137.57000000000005,140.62499999999994,
111/03/10,"15,177,320","2,065,524,204",135.2,136.55,135.2,136.35,+3.85,"20,830",134.48999999999995,136.98000000000005,140.27249999999992,
111/03/11,"11,806,594","1,591,939,591",135.85,135.85,134.2,134.4,-1.95,"24,453",133.67999999999998,136.54000000000005,139.73999999999992,144.6591666666667
111/03/14,"9,183,817","1,235,380,453",135.0,135.35,134.0,134.4, 0.00,"14,005",133.75999999999996,136.13000000000005,139.21249999999992,144.45916666666668
111/03/15,"26,456,827","3,486,775,988",133.15,133.15,131.4,131.65,-2.75,"58,815",133.85999999999996,135.25000000000006,138.65999999999994,144.16
111/03/16,"20,364,324","2,682,635,242",133.2,133.25,131.1,132.2,+0.55,"31,163",133.79999999999995,134.50500000000005,138.16749999999993,143.87500000000003
111/03/17,"14,459,851","1,962,595,410",135.45,136.5,135.2,136.4,+4.20,"14,613",133.80999999999995,134.15000000000006,137.76749999999993,143.68333333333337
111/03/18,"12,975,464","1,765,126,941",136.6,136.6,135.5,136.1,-0.30,"9,547",134.14999999999995,133.91500000000005,137.3474999999999,143.50833333333335
111/03/21,"8,071,045","1,108,232,637",136.8,137.65,136.8,137.0,+0.90,"9,955",134.66999999999996,134.21500000000006,136.99249999999992,143.33250000000004
111/03/22,"6,251,029","854,443,656",136.8,137.0,136.3,136.8,-0.20,"6,431",135.7,134.78000000000003,136.64249999999993,143.14083333333338
111/03/23,"10,632,461","1,467,263,732",137.6,138.35,137.55,138.1,+1.30,"10,787",136.87999999999997,135.34000000000003,136.45499999999993,142.95000000000007
111/03/24,"4,479,584","616,438,268",137.5,138.1,137.05,138.0,-0.10,"5,982",137.2,135.50500000000005,136.24249999999992,142.74500000000006
111/03/25,"5,074,402","701,035,397",138.4,138.5,137.9,138.2,+0.20,"7,142",137.61999999999995,135.88500000000005,136.21249999999992,142.54333333333344
111/03/28,"11,194,840","1,523,419,805",137.0,137.0,135.55,136.7,-1.50,"17,862",137.55999999999995,136.11500000000004,136.1224999999999,142.28833333333344
111/03/29,"6,644,012","909,712,955",137.0,137.2,136.6,136.85,+0.15,"6,574",137.56999999999994,136.63500000000002,135.9424999999999,142.0641666666668
111/03/30,"8,498,372","1,176,292,567",138.05,138.7,138.05,138.55,+1.70,"8,633",137.6599999999999,137.27,135.8874999999999,141.89833333333345
111/03/31,"3,748,776","518,591,902",138.55,138.65,138.1,138.1,-0.45,"5,426",137.67999999999992,137.44,135.7949999999999,141.71500000000012
111/04/01,"8,220,571","1,123,614,950",136.6,136.95,136.15,136.95,-1.15,"11,446",137.42999999999992,137.525,135.7199999999999,141.62000000000015
111/04/06,"12,266,186","1,663,822,127",135.25,136.35,135.0,136.25,-0.70,"18,875",137.33999999999992,137.45,135.83249999999992,141.49083333333346
111/04/07,"16,680,908","2,243,105,321",135.1,135.1,133.8,133.8,-2.45,"41,548",136.7299999999999,137.15,135.96499999999992,141.36000000000013
111/04/08,"9,480,787","1,270,359,704",134.1,134.55,133.75,134.55,+0.75,"12,982",135.92999999999992,136.79500000000002,136.06749999999994,141.24333333333345
111/04/11,"18,450,771","2,451,482,093",134.15,134.45,132.2,132.45,-2.10,"38,851",134.79999999999993,136.24,135.87249999999992,141.01083333333347
111/04/12,"15,367,279","2,032,841,606",132.15,132.85,131.6,132.55,+0.10,"25,468",133.91999999999993,135.675,135.77999999999992,140.7266666666668
111/04/13,"7,246,152","975,028,417",133.4,135.2,133.2,135.05,+2.50,"8,734",133.67999999999992,135.51,135.81249999999994,140.4891666666668
111/04/14,"5,235,079","705,835,063",135.75,135.75,134.55,134.55,-0.50,"7,392",133.82999999999993,135.28,135.95749999999992,140.2666666666668
