證券代號	證券名稱	成交股數	成交金額	開盤價	最高價	最低價	收盤價	漲跌價差	成交筆數
1512	瑞利	2444000	11704220	4.85	4.85	4.49	4.85	0.44	362
1513	中興電	31128000	2114860800	67.6	68.8	67	68.3	-0.2	14332
1514	亞力	1980000	59776800	30.35	30.55	29.9	30.05	-0.7	1049
1515	力山	627000	20566800	32.85	33.25	32.55	32.7	-0.6	421
1516	川飛	227000	4600500	20.2	20.5	20	20.35	0.15	97
1517	利奇	941000	19356900	20.75	20.75	20.5	20.55	-0.35	528
1519	華城	3867000	190035000	48.1	49.7	48.1	49.2	0.3	2372
1521	大億	17000	601050	35.25	35.5	35.25	35.25	-0.6	17
1522	堤維西	3042000	84574650	28.2	28.25	27.5	27.55	-0.95	1691
1522A	堤維西甲特	3000	132400	44.15	44.15	44.1	44.1	0	3
1524	耿鼎	3677000	90882950	25.05	25.05	24.55	24.6	-0.8	1854
1525	江申	17000	992800	58.2	58.5	58.1	58.5	-0.2	15
1526	日馳	458000	19817950	43.6	43.6	42.95	43	-1.1	330
1527	鑽全	200000	8256600	41.4	41.65	41	41	-0.65	135
1528	恩德	368000	3851850	10.5	10.55	10.4	10.4	-0.15	159
1529	樂事綠能	2856000	55378050	18.95	19.7	18.8	19.65	0	1410
1530	亞崴	65000	1990400	30.85	30.85	30.55	30.55	-0.25	45
1531	高林股	272000	3844500	13.9	14.25	13.9	13.95	0	61
1532	勤美	451000	13142950	29.3	29.35	28.9	28.9	-0.65	288
1533	車王電	140000	7169700	51.5	51.5	51	51.3	-0.9	118
1535	中宇	32000	1361400	42.55	42.6	42.45	42.5	-0.15	26
1536	和大	2267000	168340700	75.4	75.6	73.4	73.4	-2.7	1457
1537	廣隆	57000	7809000	136.5	137.5	136	137	0	53
1538	正峰	64000	457940	6.6	7.3	6.6	7.3	0.66	35
1539	巨庭	687000	20704950	30.4	30.45	29.95	30	-0.8	428
1540	喬福	146000	2259250	15.45	15.55	15.4	15.45	-0.1	59
1541	錩泰	30000	1021000	33.9	34.5	33.65	34	-0.35	26
1558	伸興	104000	12494500	121	121	119.5	119.5	-2	85
1560	中砂	2725000	322458000	118.5	119.5	117	118	-4	2182
1568	倉佑	378000	9203850	24.8	24.8	24.15	24.15	-0.9	261
1582	信錦	77000	4486800	58.6	58.6	58.1	58.2	-0.2	71
1583	程泰	24000	1462000	61.2	61.2	60.7	61.1	-0.7	15
1587	吉茂	30000	653650	21.8	21.95	21.75	21.8	-0.2	23
1589	永冠-KY	126000	7157200	57.9	57.9	56.5	56.8	-1.2	96
1590	亞德客-KY	790000	725068000	890	937	890	930	4	588
1597	直得	28000	2044500	72.5	73.5	72.5	72.8	-1.3	22
1598	岱宇	296000	12917950	43.8	44.7	43.2	43.2	-0.8	223
1603	華電	615000	16334400	26.75	27.15	26.3	26.4	-0.85	255
1604	聲寶	415000	10508450	25.5	25.55	25.2	25.2	-0.45	255
1605	華新	54403000	2618111550	47.55	48.6	47.55	48.2	0.15	20218
1608	華榮	722000	10239550	14.25	14.4	14.05	14.05	-0.45	363
1609	大亞	3988000	82365600	20.7	20.9	20.5	20.75	-0.2	1946
1611	中電	636000	8811550	13.85	14	13.8	13.85	-0.1	372
1612	宏泰	696000	11587650	16.75	16.8	16.55	16.65	-0.35	395
1614	三洋電	41000	1461050	35.7	35.8	35.5	35.6	-0.2	34
1615	大山	20000	570050	28.7	28.7	28.45	28.45	-0.15	18
1616	億泰	95000	703240	7.39	7.48	7.39	7.4	-0.09	55
1617	榮星	36000	539900	14.95	15.1	14.95	15	-0.05	20
1618	合機	567000	8241650	14.6	14.7	14.45	14.5	-0.25	221
1626	艾美特-KY	95000	1620250	17.1	17.3	16.85	16.9	-0.35	58
1701	中化	94306000	2858016000	28.9	31.6	28.35	31.1	2.05	37821
1702	南僑	277000	12310650	44.6	45	44.25	44.25	-0.65	238
